,buying_price,maint_price,doors_count,person_count,lug_boot_size,safety,class
0,3,2,больше,4,2,2,0
1,1,3,3,4,1,2,1
2,2,0,4,больше,0,2,1
3,0,1,2,2,2,2,0
4,1,0,больше,2,1,0,0
5,3,1,больше,больше,0,2,1
6,0,0,4,больше,0,1,1
7,2,2,2,4,1,0,0
8,2,3,больше,2,0,2,0
9,0,0,3,больше,2,0,0
10,1,1,2,4,0,0,0
11,3,1,больше,больше,2,1,1
12,3,0,2,4,1,0,0
13,0,3,2,больше,2,1,1
14,3,3,3,больше,1,0,0
15,1,2,2,больше,2,0,0
16,0,1,2,4,0,2,2
17,2,0,больше,2,1,2,0
18,0,2,больше,больше,1,1,1
19,3,1,2,2,2,1,0
20,3,0,3,2,2,2,0
21,1,3,2,4,1,1,0
22,1,3,4,больше,0,2,1
23,3,1,4,больше,0,1,0
24,1,3,4,2,1,2,0
25,3,0,4,больше,0,1,0
26,3,2,3,больше,2,1,0
27,3,3,2,4,0,0,0
28,1,1,больше,4,1,1,1
29,3,0,2,больше,2,0,0
30,2,2,2,4,2,1,1
31,1,0,2,4,1,1,1
32,3,0,больше,2,2,0,0
33,2,0,2,больше,1,0,0
34,3,3,2,2,0,2,0
35,3,1,больше,2,2,0,0
36,0,1,больше,4,0,1,1
37,3,2,4,больше,1,0,0
38,3,2,2,2,0,0,0
39,2,3,3,2,0,0,0
40,3,0,3,2,1,0,0
41,2,2,3,2,2,1,0
42,3,0,больше,4,2,2,1
43,1,2,больше,4,1,2,1
44,0,2,больше,2,0,1,0
45,0,1,2,2,1,0,0
46,0,3,3,2,0,2,0
47,3,1,3,4,2,1,1
48,3,0,4,2,2,1,0
49,2,2,2,больше,0,1,0
50,2,3,больше,4,0,2,0
51,2,0,4,2,0,1,0
52,2,3,4,2,1,1,0
53,2,2,больше,больше,1,2,1
54,2,1,2,больше,1,1,0
55,1,1,2,2,2,0,0
56,0,2,2,4,2,1,1
57,1,0,4,4,2,2,3
58,3,2,3,2,2,2,0
59,3,3,2,4,0,1,0
60,0,3,больше,больше,0,0,0
61,0,3,2,2,0,0,0
62,2,3,больше,больше,2,1,0
63,0,3,больше,4,1,1,1
64,2,2,4,4,2,1,1
65,2,2,3,больше,1,1,1
66,2,0,4,больше,0,0,0
67,3,2,больше,2,1,0,0
68,2,1,4,больше,2,1,1
69,0,0,3,4,2,0,0
70,3,3,2,4,1,2,0
71,3,3,2,больше,2,1,0
72,1,2,2,4,0,2,1
73,2,2,4,больше,0,2,1
74,2,1,4,больше,0,0,0
75,2,2,больше,4,1,2,1
76,1,2,2,4,1,2,1
77,0,2,4,больше,2,0,0
78,2,3,4,больше,0,1,0
79,3,2,2,2,2,1,0
80,1,1,больше,2,0,0,0
81,1,1,2,больше,1,2,1
82,2,1,больше,4,2,2,1
83,3,0,4,4,2,1,1
84,3,0,3,4,1,0,0
85,0,1,3,4,1,0,0
86,0,2,2,4,2,0,0
87,3,2,2,4,0,0,0
88,3,0,2,больше,0,0,0
89,0,2,больше,2,1,1,0
90,3,3,2,больше,2,2,0
91,0,0,3,4,1,1,1
92,3,2,4,больше,2,0,0
93,3,3,3,2,0,2,0
94,2,3,4,больше,1,0,0
95,2,0,больше,4,2,1,1
96,1,3,2,2,2,2,0
97,3,0,больше,больше,1,0,0
98,3,3,больше,4,2,1,0
99,0,0,2,больше,2,2,3
100,2,3,больше,4,2,0,0
101,3,2,3,больше,1,1,0
102,0,1,3,4,1,1,1
103,1,1,3,больше,0,2,1
104,0,0,2,2,1,2,0
105,2,0,4,больше,1,0,0
106,0,3,больше,больше,2,2,1
107,0,0,3,2,1,1,0
108,3,0,3,больше,2,2,1
109,0,1,2,4,0,1,1
110,0,3,4,4,0,1,0
111,0,3,3,2,2,0,0
112,1,0,2,4,0,1,1
113,2,0,3,2,0,1,0
114,1,1,больше,2,2,0,0
115,0,2,больше,больше,0,0,0
116,2,3,больше,2,0,0,0
117,2,1,4,4,2,0,0
118,1,2,больше,4,0,0,0
119,3,2,2,больше,1,2,0
120,3,1,3,больше,0,0,0
121,2,3,2,2,2,2,0
122,3,1,3,4,0,2,1
123,1,2,4,2,1,2,0
124,1,0,2,больше,2,2,3
125,0,1,4,2,2,0,0
126,1,1,2,2,0,1,0
127,3,3,3,2,2,2,0
128,2,0,3,4,1,0,0
129,2,1,2,больше,1,0,0
130,2,1,больше,4,0,1,0
131,3,3,3,4,1,1,0
132,0,2,2,больше,0,0,0
133,1,3,4,больше,2,2,1
134,2,0,3,2,0,2,0
135,1,1,2,2,1,1,0
136,0,1,2,больше,1,2,2
137,0,0,2,больше,2,1,2
138,3,2,4,4,0,0,0
139,2,3,4,4,0,0,0
140,0,2,2,4,0,0,0
141,3,3,4,2,1,2,0
142,0,3,2,4,1,1,0
143,1,1,3,4,0,0,0
144,2,3,4,2,0,1,0
145,0,1,3,2,1,0,0
146,2,2,3,2,2,0,0
147,0,2,больше,больше,2,1,1
148,2,3,4,2,1,0,0
149,1,3,больше,2,0,1,0
150,1,3,3,больше,1,1,1
151,2,0,3,2,2,0,0
152,0,0,3,2,2,0,0
153,2,0,больше,2,0,1,0
154,3,2,2,2,0,2,0
155,2,0,4,4,2,0,0
156,0,3,4,4,0,0,0
157,0,2,2,2,1,2,0
158,1,3,больше,4,2,2,1
159,2,2,3,больше,0,0,0
160,3,3,2,больше,1,0,0
161,1,3,больше,4,2,0,0
162,1,0,4,больше,1,2,3
163,2,1,4,больше,1,1,1
164,3,2,больше,больше,1,1,0
165,2,0,4,больше,2,0,0
166,0,3,4,2,1,2,0
167,1,0,2,больше,2,1,2
168,0,3,больше,4,1,0,0
169,0,0,4,больше,0,2,2
170,1,3,2,больше,0,1,0
171,1,2,4,больше,2,2,1
172,0,1,4,больше,0,0,0
173,0,3,4,больше,1,0,0
174,2,0,больше,4,2,0,0
175,0,3,3,больше,1,1,1
176,3,2,больше,2,2,1,0
177,0,2,3,2,1,0,0
178,3,2,3,больше,1,2,0
179,0,1,3,4,0,0,0
180,0,2,4,2,2,2,0
181,0,1,больше,2,1,1,0
182,1,1,4,4,2,2,3
183,2,2,3,2,0,0,0
184,0,3,4,больше,0,2,1
185,3,3,3,больше,0,2,0
186,3,3,больше,больше,2,2,0
187,0,3,3,2,1,2,0
188,1,1,3,2,2,2,0
189,0,0,больше,больше,2,0,0
190,2,3,2,больше,1,0,0
191,2,1,2,4,2,1,1
192,2,2,4,4,0,1,0
193,2,2,4,2,0,2,0
194,3,3,2,2,2,1,0
195,1,0,2,2,1,0,0
196,1,1,2,4,1,2,1
197,0,1,2,2,0,2,0
198,0,0,3,2,0,2,0
199,0,2,4,2,0,0,0
200,0,1,4,2,0,1,0
201,3,0,4,больше,1,2,1
202,1,2,больше,2,0,1,0
203,0,3,4,4,1,1,1
204,2,3,3,больше,0,2,0
205,1,0,2,4,0,0,0
206,3,1,больше,4,1,2,1
207,0,0,4,2,2,1,0
208,2,3,2,2,2,0,0
209,2,2,2,2,0,0,0
210,2,0,больше,4,1,1,1
211,3,3,4,4,1,2,0
212,2,3,больше,2,1,1,0
213,0,0,3,больше,0,2,2
214,3,2,больше,2,1,2,0
215,3,2,2,4,0,1,0
216,0,1,2,больше,1,1,1
217,2,1,2,4,1,0,0
218,1,1,3,4,0,1,1
219,1,3,2,4,1,0,0
220,3,2,больше,4,0,1,0
221,3,1,4,2,2,1,0
222,2,1,4,2,1,1,0
223,3,0,больше,4,0,0,0
224,2,2,3,4,2,2,1
225,2,2,2,2,2,0,0
226,3,0,больше,2,1,2,0
227,1,2,2,2,0,1,0
228,1,3,2,2,1,1,0
229,0,0,3,4,1,0,0
230,0,3,3,больше,0,2,1
231,3,0,больше,2,1,1,0
232,1,1,больше,2,0,2,0
233,1,3,3,2,0,0,0
234,2,2,4,больше,0,0,0
235,0,3,3,больше,1,2,1
236,3,0,4,2,1,1,0
237,2,3,2,4,2,2,0
238,3,2,больше,4,1,1,0
239,3,2,4,2,1,0,0
240,0,1,2,больше,2,2,3
241,0,3,4,2,1,1,0
242,0,0,3,4,2,2,3
243,0,0,2,4,2,2,3
244,0,3,2,4,1,0,0
245,1,1,2,4,2,0,0
246,1,0,3,4,2,0,0
247,1,0,4,2,2,0,0
248,2,3,2,больше,1,1,0
249,3,3,3,4,0,2,0
250,1,3,2,больше,2,1,1
251,3,0,3,больше,0,2,1
252,3,3,больше,2,1,1,0
253,1,3,больше,больше,1,2,1
254,2,2,4,больше,2,1,1
255,1,0,4,4,0,1,1
256,3,3,3,больше,2,1,0
257,0,2,3,больше,0,2,1
258,1,2,4,4,2,0,0
259,3,0,2,2,0,2,0
260,2,0,2,4,2,2,1
261,0,1,3,2,2,1,0
262,0,3,2,4,0,2,1
263,1,2,3,4,1,1,0
264,1,1,3,больше,1,2,3
265,3,1,2,больше,0,0,0
266,0,3,больше,4,0,0,0
267,1,3,4,2,0,2,0
268,0,1,4,2,1,1,0
269,3,1,3,больше,0,2,1
270,1,2,3,больше,1,2,1
271,2,0,3,4,0,0,0
272,3,1,3,2,2,1,0
273,0,3,2,больше,1,2,1
274,0,3,4,2,2,0,0
275,3,2,3,2,1,1,0
276,2,1,3,больше,1,1,1
277,3,2,больше,больше,0,2,0
278,3,0,2,4,0,0,0
279,1,1,2,4,2,1,1
280,3,2,2,4,1,2,0
281,3,2,3,4,2,0,0
282,0,1,4,больше,2,1,2
283,1,0,3,4,1,2,2
284,1,1,4,4,1,0,0
285,2,0,3,2,1,1,0
286,2,3,2,4,1,0,0
287,3,0,больше,больше,1,2,1
288,0,2,3,4,2,0,0
289,2,2,больше,больше,0,2,1
290,2,3,3,2,0,1,0
291,3,0,4,больше,1,1,1
292,0,2,2,2,1,1,0
293,1,2,3,больше,2,0,0
294,0,2,больше,4,0,1,1
295,0,1,больше,2,0,2,0
296,3,2,больше,4,1,2,0
297,0,1,больше,2,2,0,0
298,2,0,2,2,2,1,0
299,0,1,3,2,1,2,0
300,2,0,4,4,1,2,1
301,3,2,3,4,0,1,0
302,1,2,больше,2,2,2,0
303,2,2,3,больше,1,0,0
304,2,2,больше,4,0,1,0
305,2,1,3,4,1,0,0
306,0,0,4,2,0,2,0
307,2,0,2,больше,2,1,1
308,2,3,3,2,2,1,0
309,2,1,больше,2,2,2,0
310,1,0,больше,2,0,0,0
311,3,2,3,4,1,1,0
312,2,1,3,2,2,2,0
313,3,3,4,больше,0,0,0
314,3,3,2,больше,1,2,0
315,2,2,4,больше,0,1,0
316,0,0,4,2,1,0,0
317,0,0,больше,4,2,2,3
318,0,3,2,4,2,0,0
319,1,1,2,2,1,0,0
320,0,0,больше,2,1,1,0
321,2,2,больше,4,0,2,1
322,1,1,4,больше,1,0,0
323,3,3,4,2,2,2,0
324,0,0,3,больше,2,1,2
325,3,2,3,2,2,1,0
326,1,2,больше,больше,2,2,1
327,0,3,3,2,2,1,0
328,3,3,больше,4,0,0,0
329,2,3,3,4,2,2,0
330,2,3,3,2,0,2,0
331,2,3,4,больше,1,1,0
332,2,1,2,2,2,0,0
333,3,2,больше,больше,2,2,0
334,1,3,3,больше,2,1,1
335,3,1,больше,2,2,1,0
336,1,1,2,больше,2,0,0
337,2,1,3,больше,2,0,0
338,0,2,3,больше,0,1,1
339,0,0,больше,2,1,0,0
340,0,1,3,больше,0,2,2
341,0,3,3,4,0,2,1
342,0,1,больше,больше,0,0,0
343,2,0,3,2,0,0,0
344,1,3,3,2,2,1,0
